"","newDate","n"
"1",2018-01-01,246.33666356653
"2",2018-01-02,265.694568323903
"3",2018-01-03,305.687099729665
"4",2018-01-04,248.689395269379
"5",2018-01-05,282.911415988579
"6",2018-01-06,166.464927051216
"7",2018-01-07,142.6520884661
"8",2018-01-08,207.321689737029
"9",2018-01-09,195.120022716932
"10",2018-01-10,200.031822734512
"11",2018-01-11,198.048766210675
"12",2018-01-12,163.957482704893
"13",2018-01-13,149.706733308733
"14",2018-01-14,136.981929349713
"15",2018-01-15,137.97193801403
"16",2018-01-16,201.118510700762
"17",2018-01-17,186.913647362031
"18",2018-01-18,213.793179561384
"19",2018-01-19,158.724451739341
"20",2018-01-20,119.293955708854
"21",2018-01-21,132.550363855436
"22",2018-01-22,151.316796189174
"23",2018-01-23,192.047893152572
"24",2018-01-24,205.209564980119
"25",2018-01-25,142.583782147616
"26",2018-01-26,177.103692788631
"27",2018-01-27,199.817529495806
"28",2018-01-28,132.635800117627
"29",2018-01-29,136.420942845754
"30",2018-01-30,158.392755688168
"31",2018-01-31,171.137133844197
"32",2018-02-01,182.4252129253
"33",2018-02-02,165.37447805237
"34",2018-02-03,111.74546483811
"35",2018-02-04,122.205583482981
"36",2018-02-05,142.262199762277
"37",2018-02-06,153.170936981216
"38",2018-02-07,180.123862298205
"39",2018-02-08,143.113019099459
"40",2018-02-09,151.975100629032
"41",2018-02-10,108.241000738926
"42",2018-02-11,91.3812303636223
"43",2018-02-12,176.803159954958
"44",2018-02-13,147.279949471354
"45",2018-02-14,136.177375526167
"46",2018-02-15,118.134022803046
"47",2018-02-16,118.161680469289
"48",2018-02-17,93.0811059782282
"49",2018-02-18,95.1761171109974
"50",2018-02-19,127.651749874465
"51",2018-02-20,144.008520548232
"52",2018-02-21,168.868774946779
"53",2018-02-22,172.419491949491
"54",2018-02-23,127.490619940683
"55",2018-02-24,100.248133890331
"56",2018-02-25,95.1797924973071
"57",2018-02-26,142.217773913406
"58",2018-02-27,158.484374787658
"59",2018-02-28,148.496287590824
"60",2018-03-01,169.084867372178
"61",2018-03-02,131.789848050103
"62",2018-03-03,88.7872842717916
"63",2018-03-04,103.531419573352
"64",2018-03-05,139.529373638332
"65",2018-03-06,163.510084377602
"66",2018-03-07,143.110378867947
"67",2018-03-08,117.654666366987
"68",2018-03-09,136.55527828075
"69",2018-03-10,103.430422338657
"70",2018-03-11,97.0019938480109
"71",2018-03-12,99.9092362970114
"72",2018-03-13,152.68592197448
"73",2018-03-14,174.939636362717
"74",2018-03-15,133.915746641345
"75",2018-03-16,167.632604106329
"76",2018-03-17,123.019998255186
"77",2018-03-18,106.127781109884
"78",2018-03-19,129.776913049631
"79",2018-03-20,131.119918227196
"80",2018-03-21,159.180471378379
"81",2018-03-22,198.98592718225
"82",2018-03-23,147.244749470614
"83",2018-03-24,151.098204110749
"84",2018-03-25,115.737751062959
"85",2018-03-26,148.668512424454
"86",2018-03-27,164.880546445027
"87",2018-03-28,178.000440049917
"88",2018-03-29,157.099132548086
"89",2018-03-30,146.065800446086
"90",2018-03-31,110.328616311774
"91",2018-04-01,106.617188725621
"92",2018-04-02,143.491757594049
"93",2018-04-03,174.782070691697
"94",2018-04-04,130.964743339457
"95",2018-04-05,148.276848279871
"96",2018-04-06,111.752989590168
"97",2018-04-07,96.0590023202822
"98",2018-04-08,101.292119734921
"99",2018-04-09,124.631313818507
"100",2018-04-10,128.351113447919
"101",2018-04-11,144.14881108515
"102",2018-04-12,148.652998318896
"103",2018-04-13,121.663688938133
"104",2018-04-14,106.828181246296
"105",2018-04-15,124.573484647088
"106",2018-04-16,128.668430112302
"107",2018-04-17,146.244449921884
"108",2018-04-18,132.407968551852
"109",2018-04-19,147.192206991836
"110",2018-04-20,187.738293536007
"111",2018-04-21,100.102821017615
"112",2018-04-22,103.233325555921
"113",2018-04-23,128.301598978229
"114",2018-04-24,136.563407054171
"115",2018-04-25,133.131509934552
"116",2018-04-26,157.364204766229
"117",2018-04-27,124.187653743662
"118",2018-04-28,108.537886842154
"119",2018-04-29,108.068124613725
"120",2018-04-30,148.312828603201
"121",2018-05-01,130.613182839006
"122",2018-05-02,119.042184696533
"123",2018-05-03,120.455350454897
"124",2018-05-04,129.779734734446
"125",2018-05-05,97.1948334965855
"126",2018-05-06,103.736663877033
"127",2018-05-07,155.604889765382
"128",2018-05-08,142.071710047312
"129",2018-05-09,144.835063781589
"130",2018-05-10,147.725178365596
"131",2018-05-11,126.825921958312
"132",2018-05-12,109.013296055607
"133",2018-05-13,105.577341879718
"134",2018-05-14,140.565699473023
"135",2018-05-15,150.783565334976
"136",2018-05-16,129.89203118626
"137",2018-05-17,151.377707289532
"138",2018-05-18,127.494225369766
"139",2018-05-19,109.874560165219
"140",2018-05-20,86.6568681746721
"141",2018-05-21,111.491537349299
"142",2018-05-22,176.381699022837
"143",2018-05-23,161.914236439392
"144",2018-05-24,179.499370414764
"145",2018-05-25,134.696638834663
"146",2018-05-26,101.040111397393
"147",2018-05-27,96.4240428460762
"148",2018-05-28,100.353920894675
"149",2018-05-29,153.174517606385
"150",2018-05-30,152.905907266773
"151",2018-05-31,279.231201920658
"152",2018-06-01,227.451134790666
"153",2018-06-02,118.197475949302
"154",2018-06-03,114.202896636911
"155",2018-06-04,144.759337638505
"156",2018-06-05,128.456406570971
"157",2018-06-06,175.002892219462
"158",2018-06-07,151.742676558904
"159",2018-06-08,142.427453426644
"160",2018-06-09,87.8517991499975
"161",2018-06-10,92.3136915154755
"162",2018-06-11,121.716319998726
"163",2018-06-12,190.772542540915
